R,S,T,U,V,W,label
563.3394859445413,629.6207040092156,665.5044437197655,644.603034465937,728.6343147054381,754.2196196860546,polyester
99.31591148754117,77.23139107941356,61.70836586970752,70.98443390253541,67.21746945646532,64.60778164740917,denim
669.1855102645161,621.5873388752705,743.8231795372874,761.0188738012985,717.6104469793389,703.1025444906951,polyester
758.550978794882,694.5885954804205,792.3894953182538,749.9969432074962,825.6620039306309,879.4582166671102,polyester
379.37255037227584,406.580998434915,458.0755707435192,481.90653012648295,504.2676327883272,515.4466289196962,cotton
591.3639807563217,596.2997135228688,662.5451002811068,693.3484476898577,641.0223494500912,719.3919349494774,polyester
867.348921282801,941.6144100397646,851.4153093886864,1000.0,1000.0,1000.0,polyester
373.28154216387316,405.2828630568038,439.9971661853456,474.7445032372985,492.85471368163206,523.832839252086,cotton
84.65619109814668,94.15545120507392,93.14783949242654,69.5202301690158,60.39942231376243,64.10335173331669,denim
86.7508190742144,76.37885355895317,63.51751691075502,63.97341259957244,49.43304727688636,49.39172628023935,denim
382.4990530065935,424.7619753952739,447.09366730362035,481.4634835117202,512.7669756227068,531.788027078842,cotton
660.6779005189564,611.7516049895191,642.6517860817626,775.3682562033093,728.4509867937631,752.9162443254971,polyester
134.00157706068418,92.7885156899863,91.69787328312789,87.55324227626234,78.51842859890166,77.97040215583378,denim
194.79654122408675,200.9106279608193,229.65276949316166,238.69433406483307,250.345224722392,263.7634883848026,cotton
188.111783108147,204.68812467130758,226.49567505650467,235.53686145203213,238.9959886390277,264.9432509339752,cotton
101.58895595326315,95.03102643918636,89.08586704187007,51.54770307626593,59.23851258585696,36.037763342840435,denim
362.7366795214831,391.7215369369208,426.8353423389615,446.4933556841939,482.92297082815253,501.83141591959077,cotton
67.72071897214386,57.278952951946984,76.3816782579345,59.1054528334943,65.12657581368755,36.24217204523812,denim
666.5602290174567,664.583560431884,808.4484295374324,745.2950084892273,929.9003671421141,918.3097817152048,polyester
837.4971971096504,942.7023787523901,917.3966163249343,989.9243061349474,1000.0,1000.0,polyester
615.86444386968,656.9530216900991,659.925800732615,792.6298364359142,805.1715039143319,836.5002536319315,polyester
837.6657602388105,832.5264503839951,931.9626751894514,947.7122133042551,921.659277207659,1000.0,polyester
108.81257059064893,90.17761295648282,90.69757740237696,100.53835604627939,74.4799661650322,66.74941318961494,denim
100.09087959713177,76.74528378728652,70.09650735054767,59.51228441852652,60.9691380379193,46.60594492757839,denim
92.21228554697458,84.80774916884005,89.72139009661203,77.44244932531883,64.9979661325246,61.68797135446865,denim
187.12779562692177,199.90383750339308,226.39773361471828,233.16726136523636,244.75868172803902,261.32835572636384,cotton
842.7495856343751,911.2353352190214,1000.0,1000.0,1000.0,1000.0,polyester
179.87525976512813,193.34931311227078,209.24628429442802,223.9406514889683,239.58930095790868,249.53107309672458,cotton
97.06174860652509,81.62087318640253,78.30049335307801,58.72491736333325,74.09991501667896,57.794432441326464,denim
185.21465697174386,205.48009461421245,222.11047741962852,233.57851797686905,242.49829719795608,253.85345252832795,cotton
86.6556994857684,76.1037123802096,78.26087663224754,71.74699463712837,54.72342251511062,59.23540337484437,denim
99.81721716124208,108.21731100841396,88.99436045516313,73.63855753293063,89.22494218849306,68.7798431363114,denim
378.2372889341096,413.4404783439138,451.7339749153497,467.04375551836483,495.5446242591361,528.0788737610445,cotton
105.09271685787986,99.35487616855693,72.82231380132448,69.80396753342377,73.11524965787413,45.75811616049722,denim
105.74233328082279,73.19854217350125,76.17724619528121,79.51273582364774,71.74795104989454,60.279626896407336,denim
105.73406773646144,79.23351448810024,66.16830122477042,52.85731725896163,66.604968357645,66.15557788710598,denim
736.4666807903747,656.1026088007861,801.9219910832564,821.0151499924923,928.7989070096169,848.1215686346015,polyester
786.4834296034383,782.4159165004125,852.5041522068657,972.6213402110317,1000.0,941.5514028528373,polyester
96.44137274865233,80.6723895249816,63.100036394687265,73.46629225147238,76.19831878697782,51.22976476786069,denim
127.02415523405682,99.38854525237127,94.36279216402934,91.3929277300181,66.8954744037788,64.05106521360426,denim
389.3467777503582,406.367944711711,448.50703543902483,482.08236473459164,496.29834038658964,528.4871768115169,cotton
365.7805591079504,385.60620540306155,429.2743439860351,452.72421801601365,481.7254710177886,489.10767241071574,cotton
608.6682670595984,665.975586604771,690.4914639331074,713.0759078632498,714.8265593622929,752.5976613065556,polyester
114.47959123037874,93.97667596736389,95.48549972888542,93.37097354277395,61.87394592431554,74.7832489795695,denim
196.188697324035,208.73539108893476,226.7569169907571,244.03980996440842,257.55314980836596,267.2133507151423,cotton
718.8851923610638,822.7450731474048,878.1402109519398,891.9389823278905,962.1388812337735,1000.0,polyester
823.5181751285769,929.2202678849025,915.7471295750829,987.0551210630678,1000.0,1000.0,polyester
93.82082043547364,58.360857078975066,59.98994795985368,65.80012440546291,64.38247557204622,34.41887550230119,denim
362.36037078710376,389.8671957856736,431.4361097858455,465.1354940335645,480.2564434420063,514.80892126725,cotton
197.96197614509526,208.30102213257507,230.72993849605854,244.51718183241573,254.4405834994102,270.9245818842526,cotton
94.82047551756261,81.15917512418339,96.63654470767307,86.38113420289154,64.12354139988167,53.31098946105587,denim
116.72590233978354,104.52117803173508,91.83317123401612,93.5452371310273,84.72045524498708,57.150509039559815,denim
772.3393833755291,973.4369202165541,901.3357194268493,993.3753501591141,951.9007856541978,1000.0,polyester
111.24011683793135,93.98061268916794,98.59253036060173,97.7789221772355,70.07720469994965,65.0913450143808,denim
116.10247867567553,104.90602253215891,82.25009384230722,89.16717910318667,59.47574973804528,78.56021513169513,denim
